統計期,國家/地區別,<b>總計</b>,1.活動物；動物產品,(1)水產品,2.植物產品,(1)食用蔬菜,(2)食用果實及堅果,3.動植物油脂,4.調製食品；飲料及菸酒,(1)調製食品,(2)飲料、酒類及醋,(3)菸及菸葉代用品,5.礦產品,(1)石油煉製品,6.化學品,(1)有機化學品,7.塑膠、橡膠及其製品,(1)塑膠原料,(2)塑膠製品,(3)橡膠及其製品,8.毛皮及其製品,9.木及木製品,10.紙漿；紙及其製品；印刷品,11.紡織品,(1)紗布,12.鞋、帽及其他飾品,13.非金屬礦物製品,14.珠寶及貴金屬製品,15.基本金屬及其製品,(1)鋼鐵及其製品,(2)其他基本金屬及其製品,16.機械及電機設備,(1)電子零組件,(2)機械,(3)電機產品,(4)資通與視聽產品,(5)家用電器,17.運輸工具,18.光學及精密儀器；鐘錶；樂器,(1)光學及精密儀器,19.其他,(1)家具,(2)玩具與運動用品,月,年
107年 8月,荷蘭,501337,331,331,1502,1,－,441,1805,1465,340,－,－,－,16149,7672,30167,10239,9170,10758,427,579,1459,4941,3450,763,1187,115,66419,37740,28679,277164,54776,52075,25651,143727,935,69646,15753,15322,12489,3124,6661,8,107
107年 8月,英國,326485,182,141,355,1,2,9,1357,935,422,－,3,3,8946,2139,21001,5263,12358,3380,711,161,1085,6558,2269,654,2146,6106,61902,35456,26446,144144,6044,23425,16248,97153,1274,45256,9927,9107,15982,3643,7617,8,107
107年 8月,俄羅斯,93692,361,361,47,－,－,－,185,153,32,－,－,－,3751,1362,9157,3063,1801,4293,3,78,349,2109,631,122,556,15,15454,9843,5611,53600,3944,19107,7252,22616,681,3154,1765,1723,2986,1298,883,8,107
107年 8月,奧地利,39550,－,－,－,－,－,－,39,25,14,－,－,－,1137,－,1867,485,1155,227,24,－,130,138,123,68,145,7,2741,720,2021,26206,11343,3049,6080,5712,22,4230,1253,1044,1565,239,917,8,107
107年 8月,比利時,111961,－,－,138,－,－,－,190,154,36,－,132,1,11135,5354,11836,5502,4476,1858,126,－,294,2014,1308,136,790,60,33099,28192,4907,27559,4743,10604,5474,6415,323,16258,5867,4499,2327,298,762,8,107
107年 8月,匈牙利,43438,10,－,－,－,－,－,22,－,22,－,－,－,34,－,350,59,258,33,32,－,11,168,152,－,3,－,2516,1110,1406,35145,14792,3370,1404,15547,32,2816,1673,1672,658,66,103,8,107
107年 8月,義大利,202511,－,－,25,－,－,－,228,104,124,－,9,－,9983,3394,15266,3814,6414,5038,1105,137,849,6613,3355,526,2088,141,59401,50057,9344,62440,5095,34219,12096,10938,92,31545,5951,5825,6204,1664,1946,8,107
107年 8月,波蘭,86096,84,－,29,－,－,－,498,498,－,－,－,－,1210,19,4463,1584,2259,620,62,－,93,1638,700,305,734,－,19054,14955,4099,42474,6534,9923,12067,13314,636,10282,1139,1112,4031,2057,994,8,107
107年 8月,西班牙,81596,185,185,13,1,－,420,382,269,101,－,8,1,2967,1516,6359,3028,1723,1608,33,6,160,2707,1998,198,937,312,17921,13452,4469,27289,3037,11013,4606,6633,2000,15853,2320,2115,3526,589,1818,8,107
107年 8月,瑞典,53616,－,－,7,1,－,－,145,91,54,－,－,－,489,－,4110,364,3155,591,66,－,203,1049,288,243,298,11,18908,11568,7340,18687,883,4720,4743,8227,114,3796,2584,2531,3020,1008,1241,8,107
