統計期,國家/地區別,<b>總計</b>,1.活動物；動物產品,(1)水產品,2.植物產品,(1)食用蔬菜,(2)食用果實及堅果,3.動植物油脂,4.調製食品；飲料及菸酒,(1)調製食品,(2)飲料、酒類及醋,(3)菸及菸葉代用品,5.礦產品,(1)石油煉製品,6.化學品,(1)有機化學品,7.塑膠、橡膠及其製品,(1)塑膠原料,(2)塑膠製品,(3)橡膠及其製品,8.毛皮及其製品,9.木及木製品,10.紙漿；紙及其製品；印刷品,11.紡織品,(1)紗布,12.鞋、帽及其他飾品,13.非金屬礦物製品,14.珠寶及貴金屬製品,15.基本金屬及其製品,(1)鋼鐵及其製品,(2)其他基本金屬及其製品,16.機械及電機設備,(1)電子零組件,(2)機械,(3)電機產品,(4)資通與視聽產品,(5)家用電器,17.運輸工具,18.光學及精密儀器；鐘錶；樂器,(1)光學及精密儀器,19.其他,(1)家具,(2)玩具與運動用品,月,年
112年 9月,亞洲,25612272.0,108735,98451,31053,5738,2591,7045,133327,75936,29515,14853,731894,628506,1246536,635449,1048353,697044,270232,81077,19631,4426,104501,445541,379329,14565,117428,119887,996362,490040,506322,19482523,15134197,1083602,413887,2838529,12308,158577,652318,643735,189570,27415,55425,9,112
112年 9月,中國大陸,8134400.0,16518,12259,3093,47,60,257,35458,15059,19911,456,98680,19994,594795,327130,431896,306627,103659,21610,2440,857,45038,78801,63611,4354,77675,4868,309259,75851,233408,6062007,4434935,468913,131686,1023007,3466,49443,273964,271683,44997,2500,16758,9,112
112年 9月,香港,5689049.0,10206,9918,4985,394,1692,1218,28473,22389,3480,795,39183,39079,37190,5087,40844,23590,15114,2140,4163,94,5796,19207,13159,1732,8112,73398,24419,6511,17908,5299875,4742653,17324,58474,480524,900,3927,53382,50301,32845,1092,8973,9,112
112年 9月,日本,2191887.0,40536,36940,13142,5175,260,819,10960,5282,233,839,7781,1309,118889,30689,150646,83319,51265,16062,1621,1614,6571,23856,12636,2530,14356,20039,210898,123161,87737,1382708,901314,146603,79350,251533,3908,47733,89108,87233,48080,19284,14839,9,112
112年 9月,南韓,1432213.0,2270,2103,1005,1,118,2739,7417,5720,509,840,328,252,81866,58343,27861,10965,14606,2290,296,157,3186,4603,2596,177,5292,658,61450,26971,34479,1128931,968799,64365,22667,72297,803,9227,85280,84894,9470,1077,4027,9,112
112年 9月,新南向18國(註1),8655274.0,42826,40826,10284,144,438,2364,60675,33050,5851,15496,825558,804464,430075,216929,441153,299284,96518,45351,11144,2015,47613,324156,288705,6132,13212,20766,444265,292219,152046,5681034,4088316,409138,132710,1046111,4759,72114,156158,154779,63730,6489,14686,9,112
112年 9月,東協10國,7467999.0,39123,37154,8003,114,436,2012,49012,26032,5193,11923,572691,556009,283752,116460,272446,165638,74628,32180,10132,1617,37297,270307,243072,5562,9570,20592,331887,211261,120626,5322675,3942844,326362,106201,944845,2423,42608,142138,141183,46575,3013,8638,9,112
112年 9月,泰國,939024.0,25438,25409,398,－,－,163,2912,2148,86,－,443,18,37146,14906,40973,16293,17463,7217,294,46,5289,16051,12900,554,1675,2207,85398,48137,37261,695000,210190,35421,20021,428839,529,10295,9897,9701,4845,509,582,9,112
112年 9月,馬來西亞,1192782.0,1139,976,1344,37,2,1078,9954,6695,243,1695,95823,94560,44751,21654,28174,17375,5406,5393,148,288,6812,3814,2084,74,1005,4291,89709,68812,20897,871842,723671,29460,19007,99195,509,3387,22801,22677,6348,793,843,9,112
112年 9月,印尼,239948.0,617,2,756,－,－,92,2474,1979,7,－,3899,3647,27838,6678,28277,18632,5747,3898,823,185,3949,36125,32614,606,1281,31,32773,20827,11946,86854,35928,30842,5798,14200,86,6281,2224,2126,4863,450,362,9,112
112年 9月,菲律賓,423158.0,1676,1585,906,5,13,173,8427,4780,200,3151,62966,62806,22196,7027,18237,8872,7511,1854,319,561,3617,12713,10544,920,432,717,22940,8313,14627,234645,185843,18742,13911,16020,129,5017,22129,22074,4567,679,887,9,112
112年 9月,新加坡,3512407.0,1034,1005,1573,57,410,125,7654,6565,620,439,399310,392555,43735,21736,26738,4864,20518,1356,650,383,1994,1972,995,545,2455,13048,25829,14637,11192,2946145,2432773,159923,20095,332381,973,3029,25381,24930,10807,439,4499,9,112
112年 9月,越南,1100119.0,9219,8177,2936,9,－,378,15825,3239,3703,5839,9883,2085,104760,44153,125575,96808,16917,11850,6168,148,13087,167655,153481,2804,2399,295,73660,49718,23942,481013,354114,49157,24763,52795,184,12439,58971,58940,12904,139,1464,9,112
112年 9月,汶萊,967.0,－,－,42,6,11,2,287,48,239,－,－,－,61,38,128,－,107,21,2,－,16,4,2,－,8,－,8,－,8,288,131,58,4,95,－,81,3,3,37,－,－,9,112
112年 9月,緬甸,14894.0,－,－,－,－,－,－,408,408,－,－,14,－,1840,146,1270,862,305,103,238,3,494,4451,4370,－,310,－,626,416,210,4223,126,2112,1804,177,4,129,514,514,374,1,1,9,112
112年 9月,柬埔寨,44175.0,－,－,48,－,－,1,1071,170,95,799,353,338,1374,122,3074,1932,654,488,1490,3,2039,27065,25627,54,5,3,944,401,543,2665,68,647,798,1143,9,1950,208,208,1828,3,－,9,112
112年 9月,寮國,525.0,－,－,－,－,－,－,－,－,－,－,－,－,51,－,－,－,－,－,－,－,－,457,455,5,－,－,－,－,－,－,－,－,－,－,－,－,10,10,2,－,－,9,112
112年 9月,南亞,668524.0,14,14,438,－,－,－,648,250,34,－,13230,11863,127877,97703,124321,106701,10861,6759,766,86,6515,48572,44136,162,2403,129,56796,45818,10978,268194,143365,58248,12050,54196,335,5084,6774,6769,6515,392,1576,9,112
112年 9月,印度,512597.0,9,9,13,－,－,－,480,82,34,－,12741,11628,106246,88823,85826,73503,8332,3991,351,86,3799,9188,7184,86,1670,129,24752,15127,9625,255145,143165,49768,11176,50725,311,2476,6007,6002,3593,341,1278,9,112
112年 9月,巴基斯坦,29511.0,－,－,94,－,－,－,－,－,－,－,125,－,11009,5782,8777,6779,1191,807,3,－,253,3547,2167,－,278,－,1410,1056,354,2887,－,2274,286,321,6,173,245,245,710,－,54,9,112
112年 9月,孟加拉,101172.0,5,5,324,－,－,－,168,168,－,－,237,235,9167,2864,26575,24354,973,1248,310,－,1923,22074,21428,60,134,－,29110,28451,659,6985,33,5217,305,1427,3,2171,238,238,1691,39,151,9,112
112年 9月,斯里蘭卡,24203.0,－,－,－,－,－,－,－,－,－,－,127,－,1419,234,3031,1984,359,688,2,－,499,13651,13255,3,321,－,1379,1039,340,2813,167,838,281,1512,15,197,260,260,501,12,93,9,112
112年 9月,尼泊爾,1039.0,－,－,7,－,－,－,－,－,－,－,－,－,36,－,112,81,6,25,100,－,41,112,102,13,－,－,145,145,－,362,－,151,－,211,－,67,24,24,20,－,－,9,112
112年 9月,不丹,2.0,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,2,－,－,2,－,－,－,－,－,－,－,－,9,112
112年 9月,哈薩克,13095.0,－,－,47,－,－,－,－,－,－,－,－,－,89,－,13,－,11,2,1,－,14,73,73,－,－,－,699,150,549,11721,9,746,79,10571,316,206,165,165,67,8,－,9,112
112年 9月,中東,590386.0,1882,1840,2802,267,－,332,2542,2061,481,－,3310,3290,35552,22887,54786,32440,12658,9688,107,95,2147,26334,21873,198,2125,63,48539,32398,16141,300956,98422,101688,20797,78712,1337,89626,9504,9425,9486,1892,2862,9,112
112年 9月,伊朗,5086.0,－,－,－,－,－,－,27,－,27,－,－,－,527,41,427,213,140,74,20,－,25,－,－,－,168,－,864,666,198,1544,20,754,706,64,－,339,407,407,738,229,－,9,112
112年 9月,伊拉克,6918.0,－,－,33,－,－,－,43,2,41,－,－,－,164,68,672,－,248,424,－,－,－,127,116,－,7,－,463,393,70,2854,－,1791,308,619,136,2134,158,158,263,4,202,9,112
112年 9月,以色列,147565.0,－,－,4,－,－,184,473,397,76,－,17,－,4338,782,5453,3572,1119,762,1,－,227,1126,171,10,296,－,7881,5032,2849,118827,85717,15005,3937,14131,37,3585,3906,3868,1237,42,341,9,112
112年 9月,科威特,15274.0,260,260,171,109,－,80,81,81,－,－,－,－,820,679,1377,282,920,175,2,－,－,278,207,19,45,－,1731,1344,387,1810,6,676,753,340,35,8050,125,125,425,147,22,9,112
112年 9月,阿曼,5432.0,－,－,－,－,－,－,1,1,－,－,－,－,1636,1606,699,618,48,33,－,－,－,123,62,－,6,－,276,132,144,1641,2,1014,310,258,57,919,25,25,106,－,63,9,112
112年 9月,卡達,5046.0,55,55,25,21,－,－,45,21,24,－,3,3,212,35,1438,919,249,270,67,－,－,68,－,－,14,－,519,437,82,862,29,376,37,419,1,1117,137,137,484,16,407,9,112
112年 9月,沙烏地阿拉伯,96216.0,888,884,690,－,－,46,165,131,34,－,－,－,10596,9299,8340,3603,3500,1237,5,7,137,3147,1714,99,386,－,17769,13442,4327,16173,26,7665,4108,3847,527,35035,936,932,1797,432,969,9,112
112年 9月,土耳其,136808.0,－,－,66,－,－,－,186,83,103,－,－,－,4178,1119,19954,14438,1717,3799,2,－,544,2445,1586,2,617,－,6474,3046,3428,93015,12534,56227,3845,20310,99,6242,2251,2251,832,112,131,9,112
112年 9月,阿拉伯聯合大公國,134288.0,577,576,292,137,－,22,496,494,2,－,3290,3287,8762,5537,12322,6163,3813,2346,8,88,125,4070,3568,61,488,63,10715,6584,4131,61071,88,16693,6470,37404,416,28262,1069,1047,2507,726,637,9,112
112年 9月,北美洲,7117148.0,14317,13227,14034,1532,463,1772,50906,45154,5538,－,50270,50263,260830,38833,266698,65049,150188,51461,8653,3414,22472,47931,25932,7880,31005,10122,615147,374955,240192,4911118,484359,441977,378794,3591048,14940,369061,191939,183784,239579,84380,102888,9,112
112年 9月,美國,6897116.0,12420,11330,12091,1462,188,1533,45023,39719,5097,－,50270,50263,253918,38123,249642,60242,142291,47109,8389,3385,21049,44292,23385,7483,30279,10074,552961,326492,226469,4844977,481072,419078,368804,3561886,14137,332703,187317,179324,229310,81311,97693,9,112
112年 9月,加拿大,220005.0,1897,1897,1943,70,275,239,5864,5435,422,－,－,－,6912,710,17056,4807,7897,4352,264,29,1423,3639,2547,397,726,48,62179,48456,13723,66141,3287,22899,9990,29162,803,36358,4622,4460,10268,3069,5195,9,112
112年 9月,中美洲,479814.0,707,707,4647,3,－,19,2324,826,1498,－,237,83,22204,1490,37518,20382,13198,3938,196,115,1399,13007,10206,194,1468,2,53570,39329,14241,305467,77797,40184,30183,152088,5215,26271,3930,3592,6539,2213,1983,9,112
112年 9月,墨西哥,402624.0,－,－,304,－,－,14,415,363,52,－,229,75,13207,1246,20103,10801,7339,1963,171,52,829,8035,5889,34,1066,－,48808,37265,11543,285808,77317,32853,26071,149278,289,17261,2743,2571,3545,1342,946,9,112
112年 9月,南美洲,282767.0,3087,3075,371,－,－,7,799,651,114,－,102703,102676,14718,4060,34457,20368,7457,6632,30,3,1500,12426,9583,222,1377,－,15058,8891,6167,70593,21574,24625,7799,15486,1109,15214,5147,4911,5055,540,1610,9,112
112年 9月,巴西,100661.0,1452,1449,242,－,－,－,272,250,22,－,26,－,7857,2379,17250,11085,3195,2970,14,－,767,6945,5987,97,934,－,7159,3886,3273,47084,21405,12308,3328,9996,47,6483,1718,1704,2361,295,1110,9,112
112年 9月,智利,13020.0,119,117,17,－,－,4,114,77,37,－,－,－,726,62,1697,404,887,406,－,－,220,904,521,39,31,－,1689,813,876,3957,－,2090,819,782,266,1577,1046,953,880,143,253,9,112
112年 9月,秘魯,14605.0,－,－,37,－,－,－,79,23,22,－,1,－,1263,313,4204,3076,529,599,－,－,271,1041,1007,21,78,－,887,722,165,4785,5,2678,754,1126,222,946,626,614,366,2,58,9,112
112年 9月,歐洲,3673121.0,2687,2636,2365,425,7,1741,21941,15440,6459,37,2844,463,107491,35118,140533,49052,62583,28898,3480,967,8375,27994,13653,3163,13475,13715,408432,290092,118340,2443437,438821,277734,189594,1530152,7136,294296,102566,97399,73619,16183,30139,9,112
112年 9月,德國,710412.0,128,123,508,204,－,730,2170,2000,170,－,46,4,18117,2828,21828,4024,11770,6034,436,157,1209,4412,1549,675,3015,1783,57851,36605,21246,487913,149953,51396,38111,246455,1998,66224,25634,24359,17576,5170,5752,9,112
112年 9月,法國,161523.0,5,5,119,3,6,109,2961,1141,1783,37,－,－,5005,1197,10308,1473,6538,2297,66,11,173,1585,504,252,1691,145,19402,9937,9465,91249,35485,16344,9760,29137,523,12396,10381,10212,5665,723,1989,9,112
112年 9月,荷蘭,1175989.0,17,17,1036,1,－,316,7333,4681,2647,－,－,－,27167,13575,30610,15577,7729,7304,690,549,773,1849,867,137,1486,24,38569,25757,12812,959968,41386,58079,30258,829268,977,69051,25713,25356,10701,1944,5872,9,112
112年 9月,英國,308094.0,118,112,468,203,1,67,4840,3869,971,－,－,－,5329,1052,15259,4717,8340,2202,279,92,732,4203,1817,383,1130,867,47623,28343,19280,161983,6566,24023,15576,114814,1004,38341,12026,11464,14354,2437,8071,9,112
112年 9月,俄羅斯,60510.0,－,－,－,－,－,－,320,320,－,－,－,－,1331,69,5150,1952,1776,1422,1,33,109,1454,901,－,83,－,13045,2559,10486,31995,155,14319,12130,5261,130,4147,1825,1821,1017,16,674,9,112
112年 9月,奧地利,47461.0,－,－,－,－,－,－,23,23,－,－,－,－,4497,1975,1612,439,927,246,－,－,49,415,253,－,84,－,2419,719,1700,29675,10702,6218,7054,5650,51,5332,1562,1524,1793,93,924,9,112
112年 9月,比利時,192931.0,－,－,13,－,－,479,160,160,－,－,337,－,6845,3784,8974,2635,5760,579,37,2,34,1871,1082,5,893,98,60463,55876,4587,95778,71010,8609,5820,10306,33,12305,2596,2528,2041,413,810,9,112
112年 9月,匈牙利,55456.0,－,－,－,－,－,－,－,－,－,－,－,－,227,－,991,76,875,40,5,－,20,110,100,－,209,－,2005,913,1092,45104,15170,1693,2212,26020,9,6037,201,201,547,107,133,9,112
112年 9月,義大利,202476.0,314,314,26,14,－,－,1043,936,107,－,454,454,12741,6294,11479,5092,4334,2053,1721,9,2363,4284,1552,910,2703,950,51084,41749,9335,74786,7313,36695,12490,17997,291,26622,6918,6638,4069,935,899,9,112
112年 9月,波蘭,137038.0,40,－,－,－,－,－,400,209,191,－,－,－,2140,536,7848,4334,2226,1288,35,81,49,1600,1003,172,180,－,11225,8050,3175,97398,10661,8721,21931,55705,380,8984,4234,4150,2652,1292,572,9,112
112年 9月,西班牙,114526.0,579,579,39,－,－,－,506,429,77,－,5,5,11605,985,6055,1676,2452,1927,58,－,2172,2002,1235,92,941,－,40089,36912,3177,30766,1658,7098,7495,14000,515,15035,1871,1578,2711,478,1459,9,112
112年 9月,瑞典,59054.0,－,－,4,－,－,－,152,109,43,－,－,－,814,108,3681,1089,2369,223,26,－,144,467,138,187,29,21,16734,9702,7032,29773,11537,3956,4072,10149,59,2946,2410,2386,1666,705,450,9,112
112年 9月,瑞士,72638.0,－,－,－,－,－,－,14,14,－,－,－,－,503,87,1535,23,1151,361,49,5,33,257,158,294,9,9768,4094,2624,1470,46821,19175,12560,7544,7368,174,5820,2708,874,728,98,165,9,112
112年 9月,烏克蘭,8504.0,167,167,35,－,－,－,－,－,－,－,－,－,75,3,559,495,3,61,2,－,－,63,50,4,4,－,1672,376,1296,5395,3,1366,52,3965,9,177,114,114,237,131,－,9,112
112年 9月,歐盟(註2),3208128.0,2210,2165,1851,222,6,1665,17132,11571,5519,37,2844,463,99895,33907,117585,41582,51168,24835,3146,837,7474,21655,10479,2482,12246,3080,340177,255156,85021,2187491,411925,223531,152971,1393249,5815,244344,85600,82818,56414,13260,20933,9,112
112年 9月,東歐,404245.0,207,167,126,－,－,－,2036,1405,631,－,－,－,6149,893,21340,9274,8377,3689,50,128,519,5323,3610,222,1044,22,44075,21304,22771,276443,49937,38043,42752,144410,1301,30276,8418,8299,7867,2511,2456,9,112
112年 9月,非洲,169799.0,13612,13577,2048,55,24,19,840,515,298,－,288,84,11369,4346,33240,23493,7951,1796,39,74,1324,13046,10844,190,497,－,27447,23668,3779,49269,6692,26347,4452,10508,1270,11289,2408,2373,2800,415,671,9,112
112年 9月,阿爾及利亞,6710.0,15,－,－,－,－,－,－,－,－,－,－,－,746,214,2186,89,2097,－,－,－,6,－,－,－,80,－,1101,884,217,1652,－,832,639,52,129,115,788,788,21,4,－,9,112
112年 9月,安哥拉,136.0,－,－,－,－,－,－,－,－,－,－,－,－,－,－,90,90,－,－,－,－,－,－,－,－,－,－,－,－,－,28,－,26,－,2,－,18,－,－,－,－,－,9,112
112年 9月,埃及,39807.0,－,－,－,－,－,－,－,－,－,－,1,－,2177,1193,10406,9525,577,304,－,65,318,2543,2239,－,80,－,13518,12972,546,9137,3943,2844,368,1851,131,1235,148,148,179,13,－,9,112
112年 9月,南非,50261.0,5072,5072,314,51,24,14,561,375,186,－,20,19,2887,1198,9188,6282,2219,687,2,4,261,1331,1023,23,199,－,7491,5253,2238,16067,561,6611,2560,5905,430,4555,961,926,1311,278,403,9,112
112年 9月,肯亞,5903.0,－,－,－,－,－,－,－,－,－,－,－,－,390,166,1121,870,209,42,－,－,154,2180,2092,－,－,－,314,224,90,1570,－,1299,87,184,－,7,36,36,131,64,－,9,112
112年 9月,奈及利亞,10407.0,－,－,－,－,－,－,－,－,－,－,－,－,1313,842,3002,1933,665,404,26,－,106,86,63,－,49,－,74,5,69,4371,20,4089,166,96,－,1071,18,18,291,－,85,9,112
112年 9月,大洋洲,619708.0,7407,7366,7613,44,35,398,12914,6994,2297,3573,318256,314341,18797,2770,47838,29408,11693,6737,248,367,4297,6072,1618,487,1275,45,58049,36762,21287,92057,2356,25273,14872,47448,2108,24814,7424,6983,11350,3232,4572,9,112
112年 9月,澳大利亞,475857.0,3627,3596,1737,27,－,270,9963,6013,581,3369,239637,236592,16683,2324,37250,22816,9237,5197,203,303,3188,4140,1067,320,925,45,43410,24983,18427,78189,1505,18844,13268,42632,1940,20431,6657,6279,8879,2584,3923,9,112
112年 9月,巴布亞紐幾內亞,9520.0,－,－,3687,－,－,－,－,－,－,－,4771,4771,153,－,81,18,－,63,－,30,10,4,－,－,2,－,406,383,23,247,－,57,158,30,2,41,6,6,82,55,－,9,112
112年 9月,紐西蘭,42894.0,62,62,106,3,2,82,1052,755,43,204,－,－,1763,442,7136,4129,1792,1215,43,9,613,1137,430,88,314,－,12172,10157,2015,11976,602,5684,1191,4438,61,3991,589,548,1761,500,549,9,112
114年 2月,亞洲,24214600,99445,88212,29542,7338,3609,5143,91360,57010,12100,13113,932757,773867,1049485,467645,935764,616145,236666,82953,17606,3335,99275,362607,305471,14208,120453,168851,942368,423236,519132,18479376,13212007,908328,390246,3960416,8379,128807,577004,571503,157214,21290,42784,2,114
114年 2月,中國大陸,6954716,20209,12438,4040,34,2334,192,17171,12709,3687,145,116950,22786,449413,177510,371298,248007,100659,22632,2366,1074,52227,54449,42455,2121,75424,1175,328848,66625,262223,5130036,3698620,367112,134423,927428,2453,47605,241005,239926,39113,1596,14820,2,114
114年 2月,香港,4763328,7759,7455,3161,232,553,710,21023,14664,4955,373,656,650,40932,7409,49373,34204,13666,1503,2751,43,5348,16624,11354,2036,8393,94442,28999,8074,20925,4390589,3410409,42494,59693,877266,727,2628,63121,61153,24740,950,5601,2,114
114年 2月,日本,2110508,30167,29802,14354,6556,674,804,5757,4512,459,53,70328,16340,117436,38502,122312,71669,40051,10592,2664,605,4371,21184,9688,2015,18203,34522,178223,97899,80324,1338922,788096,137965,58675,351285,2901,34929,75672,74130,38040,15436,11157,2,114
114年 2月,南韓,1870202,10342,10106,834,297,－,1063,8286,6298,1022,625,89193,88968,80712,60028,30053,10276,17609,2168,87,268,2410,4415,1481,117,9160,9144,58970,24113,34857,1478125,1260436,59462,21985,135295,947,6063,72548,72446,8412,503,4052,2,114
114年 2月,新南向18國(註1),9091822,32923,30282,8581,279,46,2575,44963,23423,2044,13088,975991,963686,384091,189319,399758,271434,73984,54340,9984,1376,43013,270019,241594,8215,9781,28391,417905,277485,140420,6211305,4051892,322062,125227,1709876,2248,56971,129222,128143,56758,6049,11235,2,114
114年 2月,東協10國,7689899,30366,28403,5319,213,46,2374,37584,17900,1473,11917,627662,617713,267739,117476,265851,170456,57025,38370,9232,1316,28736,229643,208436,7804,6735,28271,310965,198997,111968,5644050,3687009,257136,101156,1597652,1097,33604,113309,112532,39339,2569,5307,2,114
114年 2月,泰國,732012,15304,14995,270,－,－,133,2300,1524,47,111,1344,194,40380,20232,42153,20785,12424,8944,440,14,4886,17873,14831,638,871,4383,89910,58276,31634,488612,282277,34734,17546,153798,257,7919,10074,9931,4508,446,522,2,114
114年 2月,馬來西亞,2128770,323,214,831,10,－,1607,10925,4513,147,5649,95348,95053,34035,15365,29497,15543,5930,8024,85,110,4852,2589,1486,121,912,5325,54597,41139,13458,1870145,1194055,29288,20127,626523,152,2346,9896,9580,5226,1085,588,2,114
114年 2月,印尼,241894,356,－,433,－,12,13,1314,1109,－,－,36722,36269,23966,6227,20650,14366,3637,2647,806,63,2805,28580,25978,1078,382,2,26283,17229,9054,89266,22864,21925,2996,41463,18,3713,1239,1159,4223,247,180,2,114
114年 2月,菲律賓,295902,2777,2769,656,5,－,71,6413,3976,100,2191,34671,34509,14445,5410,15996,7949,5425,2622,97,344,2585,7249,5897,825,379,408,22387,12570,9817,167827,137695,12797,8643,8564,128,3749,12499,12381,2524,311,479,2,114
114年 2月,新加坡,2918588,794,580,702,173,25,42,4751,3902,426,261,434585,434545,40297,20412,17402,5416,11007,979,54,668,1032,664,75,288,2057,17684,23514,11172,12342,2347828,1536534,103807,15790,691301,396,4209,16473,16394,5544,306,651,2,114
114年 2月,越南,1318364,10363,9774,2358,25,9,480,8999,2754,118,1717,24982,17143,107664,49759,137259,104612,18010,14637,6480,79,10195,150025,138856,4741,1971,456,92877,58178,34699,674221,512657,53256,33443,74735,130,6952,62988,62950,15274,141,2884,2,114
114年 2月,汶萊,1146,71,71,5,－,－,－,696,63,633,－,－,－,21,21,61,11,50,－,－,－,20,－,－,－,－,－,4,4,－,131,－,29,19,81,2,69,29,29,39,10,－,2,114
114年 2月,緬甸,7080,378,－,－,－,－,－,137,－,－,－,2,－,791,5,250,102,148,－,408,－,605,3365,3274,6,153,13,284,253,31,319,131,56,59,73,－,28,82,82,259,23,－,2,114
114年 2月,柬埔寨,40874,－,－,64,－,－,28,2049,59,2,1988,8,－,1323,45,2583,1672,394,517,862,38,1756,18878,17648,86,10,－,1109,176,933,5696,796,1239,2533,1114,14,4619,29,26,1736,－,3,2,114
114年 2月,寮國,5269,－,－,－,－,－,－,－,－,－,－,－,－,4817,－,－,－,－,－,－,－,－,420,391,21,－,－,－,－,－,5,－,5,－,－,－,－,－,－,6,－,－,2,114
114年 2月,南亞,805636,597,8,1598,－,－,－,204,96,－,－,27968,27410,91740,66702,96461,81389,7520,7552,460,29,6133,36099,32057,88,2095,71,35472,27359,8113,487506,363629,42757,12618,68311,191,3249,9558,9529,6308,218,867,2,114
114年 2月,印度,680828,15,8,1519,－,－,－,43,36,－,－,10694,10290,77697,62637,60166,50206,5400,4560,160,18,2985,6924,4829,14,1316,71,27718,21356,6362,478073,363583,37184,11531,65606,169,2022,8715,8701,2678,149,666,2,114
114年 2月,巴基斯坦,24664,－,－,10,－,－,－,37,37,－,－,1876,1876,6670,2178,6292,4422,953,917,74,－,169,2386,1231,2,661,－,1935,1600,335,2577,－,1278,331,954,14,408,247,232,1320,32,156,2,114
114年 2月,孟加拉,86364,582,－,68,－,－,－,124,23,－,－,15256,15244,6821,1808,27790,25756,930,1104,226,11,2395,19823,19259,53,9,－,4841,3623,1218,5397,4,3919,563,906,5,669,357,357,1942,17,－,2,114
114年 2月,斯里蘭卡,13446,－,－,1,－,－,－,－,－,－,－,142,－,543,79,2111,1005,135,971,－,－,539,6957,6738,19,99,－,976,780,196,1381,42,376,193,770,－,106,214,214,358,20,45,2,114
114年 2月,尼泊爾,334,－,－,－,－,－,－,－,－,－,－,－,－,9,－,102,－,102,－,－,－,45,9,－,－,10,－,2,－,2,78,－,－,－,75,3,44,25,25,10,－,－,2,114
114年 2月,不丹,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,2,114
114年 2月,哈薩克,3534,－,－,16,－,－,－,－,－,－,－,－,－,31,－,17,－,1,16,－,－,－,11,－,－,3,－,228,－,228,2817,－,544,91,2180,2,232,140,140,39,－,－,2,114
114年 2月,中東,380432,722,720,510,166,－,41,2794,1352,1071,366,3049,200,27979,18383,39014,24113,7737,7164,126,14,1780,16105,13555,181,1837,159,34212,23599,10613,176586,47771,53449,14173,59228,1965,60541,7181,7128,7601,1121,1372,2,114
114年 2月,伊朗,2983,－,－,74,－,－,－,29,－,29,－,－,－,53,－,361,－,299,62,－,－,－,－,－,－,－,－,362,186,176,1840,79,659,425,677,－,117,113,113,34,－,－,2,114
114年 2月,伊拉克,4789,－,－,－,－,－,－,193,69,124,－,－,－,76,－,440,－,138,302,－,－,71,18,9,－,48,－,250,182,68,1873,－,891,638,108,236,1410,351,351,59,1,－,2,114
114年 2月,以色列,91752,－,－,1,－,－,41,415,380,35,－,2,－,4408,2217,5496,4049,1158,289,17,4,253,684,339,60,266,－,8874,5257,3617,62916,34463,7059,3817,17007,570,2426,3732,3693,2157,32,345,2,114
114年 2月,科威特,10432,77,75,91,89,－,－,5,－,－,－,－,－,267,179,717,156,329,232,－,－,－,346,163,－,15,－,800,486,314,1710,－,754,634,273,49,6014,130,130,260,113,67,2,114
114年 2月,阿曼,5533,－,－,2,－,－,－,－,－,－,－,－,－,1294,810,355,236,76,43,－,－,34,－,－,－,18,－,62,25,37,1681,－,1245,83,353,－,1951,81,81,55,－,－,2,114
114年 2月,卡達,4721,－,－,－,－,－,－,91,－,91,－,－,－,353,－,1074,552,176,346,－,－,9,21,－,－,97,－,674,610,64,1389,－,542,126,718,3,856,77,77,80,19,20,2,114
114年 2月,沙烏地阿拉伯,58585,261,261,15,－,－,－,512,184,328,－,－,－,5573,4638,5449,2233,1776,1440,57,3,7,2134,1499,－,377,－,6715,4983,1732,9634,76,5391,1638,2464,65,26350,655,655,843,254,175,2,114
114年 2月,土耳其,89315,－,－,22,－,－,－,450,112,338,－,204,200,8902,5752,14315,10721,1243,2351,－,－,90,2741,1889,16,498,－,10117,7150,2967,47908,8252,24768,3538,11177,173,2452,966,963,634,－,97,2,114
114年 2月,阿拉伯聯合大公國,93385,384,384,286,77,－,－,569,131,72,366,2843,－,4784,3098,9466,5418,2188,1860,52,5,279,4501,4407,103,474,159,5288,3818,1470,43556,4901,11132,2905,24470,148,16845,979,968,2812,603,529,2,114
114年 2月,北美洲,11988349,11144,10496,10341,1610,528,1917,38959,32743,5617,－,40577,31437,161943,45741,253694,74392,132349,46953,7213,4467,18783,41991,19186,4266,28209,5454,659631,413599,246032,10018358,665566,477007,444923,8419992,10870,313679,186825,179706,180898,58208,76159,2,114
114年 2月,美國,11772478,10076,9476,8656,1557,63,1663,34755,29146,5079,－,40577,31437,148897,44429,236391,66097,127606,42688,7098,4442,17518,39989,18412,4190,27817,5399,593107,357333,235774,9950618,650549,461722,436785,8390942,10620,286294,181696,174606,173295,55680,72835,2,114
114年 2月,加拿大,215871,1068,1020,1685,53,465,254,4204,3597,538,－,－,－,13046,1312,17303,8295,4743,4265,115,25,1265,2002,774,76,392,55,66524,56266,10258,67740,15017,15285,8138,29050,250,27385,5129,5100,7603,2528,3324,2,114
114年 2月,中美洲,987151,123,117,191,32,－,－,1654,756,898,－,381,61,7645,1829,27868,14627,9706,3535,5,102,1259,6124,4704,94,1375,4,63729,52612,11117,843756,235324,19885,23240,562553,2754,21519,4728,4623,6594,2318,2623,2,114
